,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
71,400,19/07/2013 19:58,19/07/2013 20:05,388,W 26 St & 10 Ave,40.74971775,-74.00295035,480,W 53 St & 10 Ave,40.76669671,-73.99061728,17452,Subscriber,1986,1
72,730,19/07/2013 20:04,19/07/2013 20:16,494,W 26 St & 8 Ave,40.74734825,-73.99723551,388,W 26 St & 10 Ave,40.74971775,-74.00295035,20199,Subscriber,1968,1
73,885,19/07/2013 20:08,19/07/2013 20:23,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19131,Subscriber,1969,1
74,1263,19/07/2013 20:11,19/07/2013 20:32,439,E 4 St & 2 Ave,40.7262807,-73.98978041,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15943,Subscriber,1957,1
75,1127,19/07/2013 20:14,19/07/2013 20:33,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17734,Subscriber,1965,1
76,1587,19/07/2013 20:17,19/07/2013 20:44,195,Liberty St & Broadway,40.70905623,-74.01043382,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17669,Subscriber,1965,1
77,286,19/07/2013 20:21,19/07/2013 20:25,466,W 25 St & 6 Ave,40.74395411,-73.99144871,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17199,Subscriber,1981,1
78,1721,19/07/2013 20:24,19/07/2013 20:53,388,W 26 St & 10 Ave,40.74971775,-74.00295035,487,E 20 St & FDR Drive,40.73314259,-73.97573881,20206,Subscriber,1972,1
79,413,19/07/2013 20:27,19/07/2013 20:34,388,W 26 St & 10 Ave,40.74971775,-74.00295035,505,6 Ave & W 33 St,40.74901271,-73.98848395,17199,Subscriber,1985,1
80,530,19/07/2013 20:29,19/07/2013 20:38,388,W 26 St & 10 Ave,40.74971775,-74.00295035,434,9 Ave & W 18 St,40.74317449,-74.00366443,14636,Subscriber,1983,1
81,546,19/07/2013 20:32,19/07/2013 20:41,405,Washington St & Gansevoort St,40.739323,-74.008119,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16085,Subscriber,1970,1
82,497,19/07/2013 20:33,19/07/2013 20:42,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,388,W 26 St & 10 Ave,40.74971775,-74.00295035,14872,Subscriber,1987,1
83,1262,19/07/2013 20:40,19/07/2013 21:01,388,W 26 St & 10 Ave,40.74971775,-74.00295035,3002,South End Ave & Liberty St,40.711512,-74.015756,17734,Subscriber,1958,1
84,5044,19/07/2013 20:40,19/07/2013 22:04,514,12 Ave & W 40 St,40.76087502,-74.00277668,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16820,Customer,\N,0
85,725,19/07/2013 20:50,19/07/2013 21:02,388,W 26 St & 10 Ave,40.74971775,-74.00295035,2008,Little West St & 1 Pl,40.70569254,-74.01677685,17600,Subscriber,1979,2
86,1362,19/07/2013 20:52,19/07/2013 21:14,320,Church St & Leonard St,40.71743998,-74.00583475,388,W 26 St & 10 Ave,40.74971775,-74.00295035,14555,Subscriber,1983,1
87,550,19/07/2013 21:00,19/07/2013 21:09,388,W 26 St & 10 Ave,40.74971775,-74.00295035,442,W 27 St & 7 Ave,40.746647,-73.993915,15943,Subscriber,1988,1
88,634,19/07/2013 21:03,19/07/2013 21:13,388,W 26 St & 10 Ave,40.74971775,-74.00295035,526,E 33 St & 5 Ave,40.74765947,-73.98490707,14778,Subscriber,1983,1
89,1491,19/07/2013 21:16,19/07/2013 21:41,388,W 26 St & 10 Ave,40.74971775,-74.00295035,339,Avenue D & E 12 St,40.72580614,-73.97422494,14872,Subscriber,1983,1
90,140,19/07/2013 21:20,19/07/2013 21:22,388,W 26 St & 10 Ave,40.74971775,-74.00295035,489,10 Ave & W 28 St,40.75066386,-74.00176802,17669,Subscriber,1986,1
91,825,19/07/2013 21:28,19/07/2013 21:42,329,Greenwich St & N Moore St,40.72043411,-74.01020609,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17840,Subscriber,1983,1
92,1666,19/07/2013 21:28,19/07/2013 21:56,2008,Little West St & 1 Pl,40.70569254,-74.01677685,388,W 26 St & 10 Ave,40.74971775,-74.00295035,20206,Subscriber,1972,1
93,426,19/07/2013 21:29,19/07/2013 21:36,388,W 26 St & 10 Ave,40.74971775,-74.00295035,446,W 24 St & 7 Ave,40.74487634,-73.99529885,14555,Subscriber,1980,1
94,375,19/07/2013 21:29,19/07/2013 21:36,490,8 Ave & W 33 St,40.751551,-73.993934,388,W 26 St & 10 Ave,40.74971775,-74.00295035,18442,Subscriber,1966,1
95,630,19/07/2013 21:30,19/07/2013 21:40,388,W 26 St & 10 Ave,40.74971775,-74.00295035,523,W 38 St & 8 Ave,40.75466591,-73.99138152,17983,Subscriber,1965,1
96,571,19/07/2013 21:30,19/07/2013 21:40,495,W 47 St & 10 Ave,40.76269882,-73.99301222,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17264,Subscriber,1988,1
97,529,19/07/2013 21:32,19/07/2013 21:41,498,Broadway & W 32 St,40.74854862,-73.98808416,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19435,Subscriber,1957,1
98,488,19/07/2013 21:35,19/07/2013 21:43,388,W 26 St & 10 Ave,40.74971775,-74.00295035,488,W 39 St & 9 Ave,40.75645824,-73.99372222,17127,Subscriber,1980,1
99,1221,19/07/2013 21:47,19/07/2013 22:07,249,Harrison St & Hudson St,40.71870987,-74.0090009,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15599,Subscriber,1981,1
100,1323,19/07/2013 21:54,19/07/2013 22:16,388,W 26 St & 10 Ave,40.74971775,-74.00295035,521,8 Ave & W 31 St,40.75044999,-73.99481051,14885,Customer,\N,0
101,705,19/07/2013 21:58,19/07/2013 22:10,466,W 25 St & 6 Ave,40.74395411,-73.99144871,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19329,Subscriber,1975,1
102,677,19/07/2013 21:59,19/07/2013 22:10,466,W 25 St & 6 Ave,40.74395411,-73.99144871,388,W 26 St & 10 Ave,40.74971775,-74.00295035,18448,Subscriber,1983,2
103,434,19/07/2013 22:10,19/07/2013 22:17,404,9 Ave & W 14 St,40.7405826,-74.00550867,388,W 26 St & 10 Ave,40.74971775,-74.00295035,20255,Subscriber,1986,2
